"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 7","1.0272","1.0143","1.0403"
"กาญจนบุรี","cumulative_Lag 7","1.0067","0.9808","1.0332"
"กำแพงเพชร","cumulative_Lag 7","1.0444","0.9829","1.1098"
"ขอนแก่น","cumulative_Lag 7","1.0099","0.9898","1.0304"
"จันทบุรี","cumulative_Lag 7","1.038","0.9526","1.131"
"ฉะเชิงเทรา","cumulative_Lag 7","1.0422","1.0053","1.0804"
"ชลบุรี","cumulative_Lag 7","1.0446","1.0164","1.0736"
"ตรัง","cumulative_Lag 7","0.9164","0.8021","1.0471"
"ตราด","cumulative_Lag 7","1.0145","0.9198","1.1191"
"ตาก","cumulative_Lag 7","0.9935","0.9619","1.0261"
"นครปฐม","cumulative_Lag 7","1.0531","1.0221","1.0849"
"นครพนม","cumulative_Lag 7","1.0138","0.9781","1.0507"
"นครราชสีมา","cumulative_Lag 7","1.0485","1.0289","1.0685"
"นครศรีธรรมราช","cumulative_Lag 7","1.0551","0.9971","1.1165"
"นครสวรรค์","cumulative_Lag 7","1.0488","1.0206","1.0778"
"นราธิวาส","cumulative_Lag 7","1.0181","0.9674","1.0715"
"น่าน","cumulative_Lag 7","0.9831","0.9629","1.0037"
"บุรีรัมย์","cumulative_Lag 7","1.0728","1.0203","1.128"
"ปทุมธานี","cumulative_Lag 7","1.0252","0.9965","1.0547"
"ประจวบคีรีขันธ์","cumulative_Lag 7","1.0795","1.0127","1.1508"
"ปราจีนบุรี","cumulative_Lag 7","1.0322","0.9969","1.0689"
"พระนครศรีอยุธยา","cumulative_Lag 7","1.0131","0.9826","1.0444"
"พะเยา","cumulative_Lag 7","0.9824","0.9618","1.0034"
"พิจิตร","cumulative_Lag 7","1.0491","0.9766","1.1269"
"พิษณุโลก","cumulative_Lag 7","1.0341","1.0102","1.0586"
"ภูเก็ต","cumulative_Lag 7","1.0333","0.9241","1.1555"
"มุกดาหาร","cumulative_Lag 7","0.9327","0.7928","1.0974"
"ยะลา","cumulative_Lag 7","0.9613","0.9037","1.0225"
"ระยอง","cumulative_Lag 7","1.0467","1.0095","1.0854"
"ราชบุรี","cumulative_Lag 7","1.0183","0.9989","1.0381"
"ลพบุรี","cumulative_Lag 7","1.0755","1.0126","1.1424"
"ลำปาง","cumulative_Lag 7","1.0068","0.9875","1.0264"
"ลำพูน","cumulative_Lag 7","0.9955","0.9693","1.0223"
"สกลนคร","cumulative_Lag 7","1.0124","0.9619","1.0655"
"สงขลา","cumulative_Lag 7","1.0379","0.992","1.0859"
"สตูล","cumulative_Lag 7","0.9978","0.913","1.0904"
"สมุทรปราการ","cumulative_Lag 7","1.0167","0.9919","1.0422"
"สมุทรสงคราม","cumulative_Lag 7","1.0893","1.0296","1.1525"
"สระแก้ว","cumulative_Lag 7","1.0292","0.9885","1.0716"
"สุพรรณบุรี","cumulative_Lag 7","1.0373","1.0019","1.0738"
"สุราษฎร์ธานี","cumulative_Lag 7","1.0481","0.994","1.1052"
"สุโขทัย","cumulative_Lag 7","1.0156","0.9793","1.0532"
"หนองคาย","cumulative_Lag 7","1.0096","0.9831","1.0368"
"อุดรธานี","cumulative_Lag 7","1.032","0.9956","1.0697"
"อุตรดิตถ์","cumulative_Lag 7","1.027","0.9722","1.0849"
"อุทัยธานี","cumulative_Lag 7","1.0303","0.9568","1.1094"
"อุบลราชธานี","cumulative_Lag 7","0.9977","0.98","1.0156"
"เชียงราย","cumulative_Lag 7","0.9923","0.9843","1.0004"
"เชียงใหม่","cumulative_Lag 7","1.0074","0.9955","1.0194"
"เพชรบูรณ์","cumulative_Lag 7","1.0269","0.9612","1.0971"
"เลย","cumulative_Lag 7","1.0057","0.9804","1.0316"
"แพร่","cumulative_Lag 7","1.0339","1.0069","1.0616"
"แม่ฮ่องสอน","cumulative_Lag 7","1.0243","1.0018","1.0472"
