"Province","RR","Lower","Upper"
"Bangkok",1.0448,1.0283,1.0615
"Buri Ram",1.076,1.016,1.1395
"Chachoengsao",1.0589,1.0184,1.1009
"Chanthaburi",1.0238,0.9259,1.132
"Chiang Mai",1.0131,0.9984,1.0279
"Chiang Rai",0.9891,0.98,0.9982
"Chon Buri",1.0412,1.0115,1.0719
"Kamphaeng Phet",1.0215,0.9511,1.0971
"Kanchanaburi",1.0116,0.9824,1.0418
"Khon Kaen",1.0178,0.9961,1.04
"Lampang",1.0028,0.9792,1.0271
"Lamphun",1.0151,0.9849,1.0463
"Loei",0.9841,0.9567,1.0123
"Lop Buri",1.1005,1.0338,1.1715
"Mae Hong Son",1.0159,0.9916,1.0408
"Mukdahan",0.9688,0.8017,1.1706
"Nakhon Pathom",1.0604,1.0259,1.096
"Nakhon Phanom",1.0108,0.9753,1.0476
"Nakhon Ratchasima",1.0656,1.0429,1.0887
"Nakhon Sawan",1.0273,0.9952,1.0605
"Nakhon Si Thammarat",1.0528,0.9869,1.1232
"Nan",0.9955,0.9722,1.0193
"Narathiwat",1.013,0.9531,1.0765
"Nong Khai",0.9991,0.9707,1.0283
"Pathum Thani",1.0199,0.9846,1.0565
"Phayao",0.9795,0.9548,1.0048
"Phetchabun",1.0184,0.948,1.0941
"Phichit",1.0079,0.9326,1.0893
"Phitsanulok",1.0476,1.0193,1.0767
"Phra Nakhon Si Ayutthaya",1.0231,0.9882,1.0591
"Phrae",1.0048,0.9766,1.0339
"Phuket",0.9832,0.8709,1.1099
"Prachin Buri",1.036,0.9988,1.0747
"Prachuap Khiri Khan",1.1436,1.058,1.2362
"Ratchaburi",1.0202,0.9984,1.0423
"Rayong",1.0296,0.9874,1.0736
"Sa Kaeo",1.0382,0.996,1.0822
"Sakon Nakhon",1.0345,0.9782,1.0941
"Samut Prakan",1.02,0.9905,1.0504
"Samut Songkhram",1.0746,1.0103,1.143
"Satun",1.0185,0.9241,1.1224
"Songkhla",1.0376,0.9866,1.0912
"Sukhothai",1.0259,0.9852,1.0683
"Suphan Buri",1.0385,0.998,1.0808
"Surat Thani",1.0792,1.0193,1.1426
"Tak",0.9891,0.9533,1.0263
"Trang",0.8719,0.7415,1.0251
"Trat",1.0945,0.9881,1.2124
"Ubon Ratchathani",1.0142,0.995,1.0338
"Udon Thani",1.0624,1.0222,1.1043
"Uthai Thani",1.0676,0.9805,1.1624
"Uttaradit",1.0142,0.954,1.0783
"Yala",1.0114,0.9455,1.082
