"Province","cumulative_Lag","RR","Lower","Upper"
"Bangkok","cumulative_Lag 0","1.0108","0.9975","1.0244"
"Buri Ram","cumulative_Lag 0","1.0324","0.9903","1.0763"
"Chachoengsao","cumulative_Lag 0","1.0333","1.0006","1.067"
"Chanthaburi","cumulative_Lag 0","0.9869","0.8876","1.0973"
"Chiang Mai","cumulative_Lag 0","1.0045","0.9911","1.018"
"Chiang Rai","cumulative_Lag 0","0.9912","0.9805","1.002"
"Chon Buri","cumulative_Lag 0","1.0204","0.9952","1.0462"
"Kamphaeng Phet","cumulative_Lag 0","1.019","0.9673","1.0734"
"Kanchanaburi","cumulative_Lag 0","1.0192","0.9926","1.0464"
"Khon Kaen","cumulative_Lag 0","1.0264","1.0098","1.0433"
"Lampang","cumulative_Lag 0","0.997","0.9753","1.0193"
"Lamphun","cumulative_Lag 0","1.001","0.9731","1.0297"
"Loei","cumulative_Lag 0","1.0149","0.992","1.0383"
"Lop Buri","cumulative_Lag 0","1.1023","1.0499","1.1573"
"Mae Hong Son","cumulative_Lag 0","1.0076","0.9825","1.0333"
"Mukdahan","cumulative_Lag 0","1.0541","0.9365","1.1864"
"Nakhon Pathom","cumulative_Lag 0","1.0036","0.9748","1.0332"
"Nakhon Phanom","cumulative_Lag 0","1.0173","0.9945","1.0406"
"Nakhon Ratchasima","cumulative_Lag 0","1.0319","1.0124","1.0516"
"Nakhon Sawan","cumulative_Lag 0","0.9999","0.9739","1.0265"
"Nakhon Si Thammarat","cumulative_Lag 0","1.0192","0.9666","1.0747"
"Nan","cumulative_Lag 0","0.9994","0.9754","1.0239"
"Narathiwat","cumulative_Lag 0","0.9844","0.9377","1.0334"
"Nong Khai","cumulative_Lag 0","1.0197","0.9975","1.0424"
"Pathum Thani","cumulative_Lag 0","0.9765","0.9467","1.0072"
"Phayao","cumulative_Lag 0","0.9887","0.9653","1.0127"
"Phetchabun","cumulative_Lag 0","1.0103","0.9597","1.0636"
"Phichit","cumulative_Lag 0","0.9601","0.9019","1.0221"
"Phitsanulok","cumulative_Lag 0","1.0311","1.0071","1.0558"
"Phra Nakhon Si Ayutthaya","cumulative_Lag 0","1.0049","0.9757","1.0351"
"Phrae","cumulative_Lag 0","0.9925","0.9672","1.0186"
"Phuket","cumulative_Lag 0","0.9753","0.8878","1.0714"
"Prachin Buri","cumulative_Lag 0","1.0059","0.9744","1.0385"
"Prachuap Khiri Khan","cumulative_Lag 0","1.0528","0.983","1.1275"
"Ratchaburi","cumulative_Lag 0","1.0212","0.9997","1.0431"
"Rayong","cumulative_Lag 0","1.0277","0.9919","1.0648"
"Sa Kaeo","cumulative_Lag 0","1.0175","0.978","1.0586"
"Sakon Nakhon","cumulative_Lag 0","1.0069","0.9664","1.0491"
"Samut Prakan","cumulative_Lag 0","1.0048","0.981","1.0292"
"Samut Songkhram","cumulative_Lag 0","1.0025","0.949","1.0591"
"Satun","cumulative_Lag 0","1.0228","0.9476","1.104"
"Songkhla","cumulative_Lag 0","1.0241","0.9843","1.0655"
"Sukhothai","cumulative_Lag 0","1.0272","0.9921","1.0635"
"Suphan Buri","cumulative_Lag 0","1.0144","0.9811","1.0488"
"Surat Thani","cumulative_Lag 0","1.0181","0.975","1.0632"
"Tak","cumulative_Lag 0","1.0028","0.969","1.0378"
"Trang","cumulative_Lag 0","0.9447","0.832","1.0726"
"Trat","cumulative_Lag 0","1.1466","1.0203","1.2886"
"Ubon Ratchathani","cumulative_Lag 0","1.0153","1.0005","1.0302"
"Udon Thani","cumulative_Lag 0","1.0309","1.0009","1.0618"
"Uthai Thani","cumulative_Lag 0","0.9734","0.9098","1.0415"
"Uttaradit","cumulative_Lag 0","0.971","0.9108","1.0352"
"Yala","cumulative_Lag 0","0.9869","0.9333","1.0435"
