"Province","cumulative_Lag","RR","Lower","Upper"
"กรุงเทพมหานคร","cumulative_Lag 0","1.0132","1.0037","1.0227"
"กาญจนบุรี","cumulative_Lag 0","1.0079","0.9894","1.0268"
"กำแพงเพชร","cumulative_Lag 0","0.9937","0.9594","1.0292"
"ขอนแก่น","cumulative_Lag 0","1.0222","1.0102","1.0344"
"จันทบุรี","cumulative_Lag 0","1.0039","0.9333","1.0798"
"ฉะเชิงเทรา","cumulative_Lag 0","1.0348","1.0125","1.0575"
"ชลบุรี","cumulative_Lag 0","1.0269","1.0094","1.0447"
"ตรัง","cumulative_Lag 0","0.9719","0.8868","1.0652"
"ตราด","cumulative_Lag 0","1.0489","0.967","1.1376"
"ตาก","cumulative_Lag 0","0.9953","0.9727","1.0184"
"นครปฐม","cumulative_Lag 0","1.0141","0.994","1.0346"
"นครพนม","cumulative_Lag 0","1.0065","0.9884","1.0249"
"นครราชสีมา","cumulative_Lag 0","1.0288","1.0154","1.0423"
"นครศรีธรรมราช","cumulative_Lag 0","1.0465","1.0058","1.0888"
"นครสวรรค์","cumulative_Lag 0","1.0103","0.9918","1.0291"
"นราธิวาส","cumulative_Lag 0","0.9778","0.9437","1.013"
"น่าน","cumulative_Lag 0","0.9995","0.9852","1.014"
"บุรีรัมย์","cumulative_Lag 0","1.0182","0.9856","1.0519"
"ปทุมธานี","cumulative_Lag 0","0.9953","0.9744","1.0167"
"ประจวบคีรีขันธ์","cumulative_Lag 0","1.0298","0.979","1.0831"
"ปราจีนบุรี","cumulative_Lag 0","1.0242","1.0005","1.0485"
"พระนครศรีอยุธยา","cumulative_Lag 0","1.0052","0.9851","1.0258"
"พะเยา","cumulative_Lag 0","0.9924","0.9773","1.0077"
"พิจิตร","cumulative_Lag 0","1.0063","0.965","1.0494"
"พิษณุโลก","cumulative_Lag 0","1.0151","0.999","1.0315"
"ภูเก็ต","cumulative_Lag 0","1.0017","0.9358","1.0722"
"มุกดาหาร","cumulative_Lag 0","0.9857","0.8991","1.0806"
"ยะลา","cumulative_Lag 0","1.0217","0.9815","1.0636"
"ระยอง","cumulative_Lag 0","1.0366","1.0108","1.063"
"ราชบุรี","cumulative_Lag 0","1.0247","1.0101","1.0394"
"ลพบุรี","cumulative_Lag 0","1.0791","1.0431","1.1163"
"ลำปาง","cumulative_Lag 0","0.9952","0.9812","1.0093"
"ลำพูน","cumulative_Lag 0","0.9957","0.9774","1.0144"
"สกลนคร","cumulative_Lag 0","0.9999","0.9683","1.0325"
"สงขลา","cumulative_Lag 0","1.0178","0.9895","1.0469"
"สตูล","cumulative_Lag 0","0.9897","0.9368","1.0455"
"สมุทรปราการ","cumulative_Lag 0","1.0149","0.9978","1.0323"
"สมุทรสงคราม","cumulative_Lag 0","0.9891","0.9515","1.0281"
"สระแก้ว","cumulative_Lag 0","1.0173","0.9884","1.047"
"สุพรรณบุรี","cumulative_Lag 0","0.994","0.9706","1.018"
"สุราษฎร์ธานี","cumulative_Lag 0","1.0108","0.9794","1.0432"
"สุโขทัย","cumulative_Lag 0","1.025","1.0007","1.0498"
"หนองคาย","cumulative_Lag 0","1.021","1.0046","1.0376"
"อุดรธานี","cumulative_Lag 0","1.0188","0.9969","1.0412"
"อุตรดิตถ์","cumulative_Lag 0","0.9885","0.95","1.0286"
"อุทัยธานี","cumulative_Lag 0","1.0137","0.9656","1.0643"
"อุบลราชธานี","cumulative_Lag 0","1.0136","1.0031","1.0241"
"เชียงราย","cumulative_Lag 0","0.9939","0.9869","1.001"
"เชียงใหม่","cumulative_Lag 0","1.0086","0.9995","1.0179"
"เพชรบูรณ์","cumulative_Lag 0","1.0173","0.9796","1.0564"
"เลย","cumulative_Lag 0","1.0068","0.9911","1.0228"
"แพร่","cumulative_Lag 0","0.9961","0.9799","1.0126"
"แม่ฮ่องสอน","cumulative_Lag 0","1.0008","0.9821","1.0198"
